,place_id,avg_rating
0,ChIJiXU7zCT3NIgR5A0-Nmn_DnY,4.4
1,ChIJYyr-3DvyNIgRkVFqJVClMTE,3.9
2,ChIJEZjxzqTzNIgRwiVvxKBE2yA,4.7
3,ChIJyzBGRW7xNIgRXB2eErtcY_Q,3.6
4,ChIJM2ZjhEHxNIgR-YJTO_PLzRk,4.6
5,ChIJZQcHPNn2NIgRAQmTKjUpUSs,5.0
6,ChIJk2l-QzP0NIgRZAqDJquag4w,4.1
7,ChIJA-9p-fzxNIgRLTA8nc9jQu4,4.5
8,ChIJtTRDW2_2NIgRPF3WxL7J55U,4.0
9,ChIJb7PIF5DxNIgRK827reLouqA,4.7
10,ChIJFZbmrm7xNIgR2euqY6EhXgo,4.1
11,ChIJxaXoSG3yNIgRtzXCZNI__8o,4.8
12,ChIJ6_EQtJDxNIgRmE3yC5A0OME,4.9
13,ChIJo_tewIjtNIgRBFCbF1h1OO8,4.1
14,ChIJlY2CWXLyNIgRcJvZ-6wHBMA,4.5
15,ChIJf_C5B_TyNIgRVD49dRrAYR4,4.3
16,ChIJq7sV_PrzNIgRvZdO0OW-xmE,4.2
17,ChIJsSg-mRf3NIgRTmpFI16wb28,5.0
18,ChIJj9Cr-jvyNIgR6U7hTmHBfxk,2.6
19,ChIJyc02THHyNIgRqvuc_f9kWYo,3.8
20,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
21,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
22,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
23,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
24,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
25,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
26,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
27,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
28,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
29,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
30,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
31,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
32,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
33,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
34,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
35,ChIJddPwoMLwNIgR-v021li5iqA,4.9
36,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
37,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
38,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
39,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
40,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
41,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
42,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
43,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
44,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
45,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
46,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
47,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
48,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
49,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
50,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
51,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
52,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
53,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
54,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
55,ChIJddPwoMLwNIgR-v021li5iqA,4.9
56,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
57,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
58,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
59,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
60,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
61,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
62,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
63,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
64,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
65,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
66,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
67,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
68,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
69,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
70,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
71,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
72,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
73,ChIJcULRn_zxNIgRFGLNygA6FMc,3.3
74,ChIJtRweoVr3NIgRimp1T3D0eIg,5.0
75,ChIJddPwoMLwNIgR-v021li5iqA,4.9
76,ChIJbR-AY_3zNIgR1xsnLRjvNgY,3.2
77,ChIJJ7dx_zryNIgRfj-BR9Y3i2Y,5.0
78,ChIJY6YPiCL0NIgRxlEHmLC3_Kk,4.2
79,ChIJo4Q0zQL2NIgRO98jWvlgscY,3.7
80,ChIJMfUkVhv3NIgR3LUJaWerTz4,3.4
81,ChIJK294x3_yNIgRx8ObhdIKxHs,5.0
82,ChIJs4P5SnHyNIgR5tG_0YGCijU,3.0
83,ChIJMwOAd8rzNIgRZibBLB18HLY,4.8
84,ChIJOwrRseDtNIgR0IC_wHGsXig,3.7
85,ChIJCwvVbcXwNIgR3RmOaGI6PZ8,5.0
86,ChIJVeIUwG72NIgRqrLHD770Zfg,2.0
87,ChIJF0SM0OXxNIgRh_w3_8ps99U,4.6
88,ChIJB4tYmXDyNIgR4ifgrL9b0h4,5.0
89,ChIJ2_87vpnwNIgRF0tXJn08I9I,4.6
90,ChIJMXZKwoXxNIgRhgJVbDhwF2E,4.2
91,ChIJg00qINfwNIgRbnb2PobwbVk,5.0
92,ChIJW1g0rXTyNIgR4iQJsHK6eOg,4.0
